% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.842427994e+07 +3.842427994e+07 +3.842407006e+07 -2.098800000e+02 +1.9773e+00 +3.4768e+00 -3.7688e+00 -4.5725e+00 +7.3633e-01 -3.5880e+00 -2.5429e+00 +1.8134e+00 -8.8653e-01 -3.5423e+00 +3.3993e+00 +2.5170e+00 -1.6814e+00 +2.1888e+00 -3.8928e+00 +3.1861e+00 +2.4431e+00 +4.8136e+00 -1.5376e+00 -3.9042e+00
383 +7.335211418e+05 +7.335211418e+05 +7.333112618e+05 -2.098800000e+02 +9.5226e-01 -3.5521e+00 -2.4378e+00 +1.9199e+00 +3.3885e+00 -4.7549e-01 +2.1734e-01 +2.4097e-01 -4.5437e+00 -4.1630e+00 -2.9414e+00 -1.0081e+00 -6.0636e-01 +2.1514e+00 -2.7438e+00 -1.8107e+00 -2.4709e+00 +2.7846e+00 -2.1605e+00 +2.1280e+00
572 +2.446296653e+05 +2.446296653e+05 +2.444197853e+05 -2.098800000e+02 +9.5226e-01 -3.5521e+00 -2.0882e+00 +2.5038e+00 +3.2809e+00 +3.8142e+00 -4.9704e+00 +4.8274e+00 +3.6557e+00 -2.9560e+00 +3.8693e+00 -2.2039e+00 +4.1428e+00 -1.6918e+00 -2.6837e+00 -2.9839e+00 -2.9869e+00 +2.7846e+00 -2.1605e+00 +2.1280e+00
1324 +1.013059044e+05 +1.013059044e+05 +1.010960244e+05 -2.098800000e+02 +9.5226e-01 -3.5521e+00 -2.6901e+00 +1.9199e+00 +3.3885e+00 -4.7549e-01 +2.1734e-01 +2.4097e-01 -2.7212e+00 +3.6198e+00 +1.5021e+00 +7.9611e-02 +4.1428e+00 -1.6918e+00 -2.4970e+00 -2.9839e+00 -2.9869e+00 +2.7846e+00 -2.2271e+00 +1.8280e+00
1514 +7.030532324e+04 +7.030532324e+04 +7.009544324e+04 -2.098800000e+02 +9.5226e-01 -3.5521e+00 -2.6901e+00 +2.3949e+00 +3.3885e+00 +3.1306e+00 -4.9704e+00 +4.8274e+00 -2.7212e+00 +3.6198e+00 +1.5021e+00 +7.9611e-02 +4.1428e+00 -1.6918e+00 -1.8778e+00 -2.9839e+00 -3.0973e+00 +2.9864e+00 -2.2271e+00 +1.8280e+00
1700 +5.191155350e+04 +5.191155350e+04 +5.170167350e+04 -2.098800000e+02 +9.5226e-01 -3.5521e+00 -2.6901e+00 +1.9199e+00 +3.3885e+00 -4.7549e-01 +2.1734e-01 -2.3959e-01 -2.7212e+00 +3.6198e+00 +1.5021e+00 +7.9611e-02 +4.1428e+00 -1.0091e+00 -1.8778e+00 -3.2434e+00 -3.0973e+00 +2.9864e+00 -2.2271e+00 +1.8280e+00
2085 +3.201937443e+04 +3.201937443e+04 +3.180949443e+04 -2.098800000e+02 +9.5226e-01 -3.5521e+00 -2.6901e+00 +1.9199e+00 +3.3885e+00 -4.7549e-01 +2.1734e-01 -2.3959e-01 -2.7212e+00 +3.6198e+00 +1.5021e+00 +4.5414e-01 +4.1428e+00 -1.0091e+00 -1.8778e+00 -3.8818e+00 -2.9869e+00 +3.0976e+00 -2.2271e+00 +1.8280e+00
2630 +1.998359345e+04 +1.998359345e+04 +1.977371345e+04 -2.098800000e+02 +9.5226e-01 -3.5521e+00 -2.6901e+00 +1.9199e+00 +3.3885e+00 -4.7549e-01 +2.1734e-01 -7.0028e-01 -2.7212e+00 +3.6198e+00 +1.5021e+00 +7.9730e-01 +4.1428e+00 -1.0091e+00 -1.3238e+00 -3.8818e+00 -3.0973e+00 +2.9864e+00 -2.4600e+00 +1.8280e+00
2997 +1.520075218e+04 +1.520075218e+04 +1.499087218e+04 -2.098800000e+02 +9.5226e-01 -3.6829e+00 -2.6901e+00 +2.0015e+00 +2.8632e+00 -4.7549e-01 +2.1734e-01 -7.0028e-01 -2.7212e+00 +3.7125e+00 +1.0091e+00 +6.2563e-01 +4.1428e+00 -1.0091e+00 -1.5987e+00 -3.8818e+00 -3.0973e+00 +2.9864e+00 -2.3162e+00 +1.9858e+00
3741 +9.527371099e+03 +9.527371099e+03 +9.317491099e+03 -2.098800000e+02 +9.5226e-01 -3.5521e+00 -2.0882e+00 +1.9199e+00 +1.8685e+00 +3.2656e-01 +2.1734e-01 +3.9560e-01 -2.7212e+00 +3.6198e+00 +9.5502e-01 +1.5673e+00 +4.1530e+00 -1.6918e+00 -1.5987e+00 -3.8818e+00 -3.0973e+00 +2.9864e+00 -2.3824e+00 +1.9858e+00
4670 +4.146286377e+03 +4.146286377e+03 +3.936406377e+03 -2.098800000e+02 +9.5226e-01 -3.5521e+00 -2.0882e+00 +1.9199e+00 +1.8685e+00 +3.2656e-01 +2.1734e-01 -9.4869e-01 -1.3219e+00 +3.4964e+00 +1.1276e+00 +1.5054e+00 +4.1530e+00 -1.6918e+00 -1.5987e+00 -3.8818e+00 -3.0973e+00 +3.0976e+00 -2.3824e+00 +1.8995e+00
