% function evaluation | noise-free fitness - Fopt (-9.210000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.789794512e+02 +3.789794512e+02 +3.697694512e+02 -9.210000000e+00 +1.8226e+00 -2.1118e+00 +3.7801e+00 -8.6381e-01 +2.1164e+00 +1.1737e+00 -4.7122e+00 +4.6748e+00 -2.4637e+00 +4.6849e+00 -4.0452e+00 -7.7941e-01 -2.0147e+00 +1.7030e+00 +4.8042e-01 +2.3361e+00 -8.6429e-01 +4.9658e+00 +2.2691e+00 +2.5835e+00
379 +1.745044604e+02 +1.745044604e+02 +1.652944604e+02 -9.210000000e+00 +1.0937e+00 -1.3586e+00 +6.0492e-01 +1.2815e+00 -1.4612e+00 +1.8373e-01 +4.9743e+00 +3.4624e+00 +4.7363e+00 +2.1870e+00 -3.8156e+00 -4.8900e+00 +3.2724e+00 +4.7219e+00 -4.3879e+00 -7.8986e-01 +4.5622e+00 +4.8109e+00 -1.8529e+00 +1.2645e+00
556 +1.293958731e+02 +1.293958731e+02 +1.201858731e+02 -9.210000000e+00 +4.2966e+00 -2.0194e+00 +6.0492e-01 +1.2815e+00 -1.4612e+00 +9.8813e-02 +8.3978e-01 +3.4624e+00 +4.7363e+00 +1.9504e+00 -3.8156e+00 -4.8900e+00 +3.2724e+00 +4.7219e+00 -4.3879e+00 -9.3568e-01 +4.5622e+00 +4.8109e+00 -4.9753e+00 +3.4745e+00
1105 +8.654655998e+01 +8.654655998e+01 +7.733655998e+01 -9.210000000e+00 +4.2966e+00 -2.0194e+00 +6.0492e-01 +4.0239e+00 -3.4867e+00 +4.5892e+00 +4.9743e+00 +3.4624e+00 +4.7363e+00 -4.2359e+00 -3.8156e+00 -5.2524e+00 +3.2724e+00 +4.7219e+00 -4.3879e+00 -9.3568e-01 +4.5622e+00 +4.8109e+00 -4.9753e+00 +3.4745e+00
2215 +6.041151781e+01 +6.041151781e+01 +5.120151781e+01 -9.210000000e+00 +4.2966e+00 -1.2067e+00 +6.0492e-01 +4.4141e+00 -3.4867e+00 +4.5892e+00 +4.9743e+00 +3.4624e+00 +4.7363e+00 -4.2743e+00 -3.8156e+00 -5.1794e+00 +3.6459e+00 +4.9786e+00 -4.3879e+00 -1.9826e+00 +4.5622e+00 +4.8109e+00 -4.9753e+00 +5.3113e+00
3310 +3.870616633e+01 +3.870616633e+01 +2.949616633e+01 -9.210000000e+00 +4.2966e+00 -1.2067e+00 +1.3816e+00 +4.9751e+00 -3.4867e+00 +5.0153e+00 +4.9743e+00 +3.4624e+00 +4.7363e+00 -4.3465e+00 -4.4638e+00 -5.7532e+00 +4.3430e+00 +4.9786e+00 -5.2090e+00 -2.9425e+00 +5.0393e+00 +5.2075e+00 -4.9753e+00 +5.3113e+00
4580 +2.002356116e+01 +2.002356116e+01 +1.081356116e+01 -9.210000000e+00 +5.2214e+00 -1.2067e+00 +1.3816e+00 +4.8808e+00 -3.9910e+00 +4.8816e+00 +4.9743e+00 +4.2240e+00 +5.2710e+00 -4.2743e+00 -5.1127e+00 -5.7532e+00 +5.0174e+00 +4.9786e+00 -5.2090e+00 -4.7146e+00 +4.9291e+00 +5.2075e+00 -5.7027e+00 +5.3113e+00
5133 +1.454757484e+01 +1.454757484e+01 +5.337574840e+00 -9.210000000e+00 +5.2214e+00 -1.2067e+00 +2.2843e+00 +4.8808e+00 -5.0013e+00 +5.0153e+00 +4.9743e+00 +4.3568e+00 +5.2710e+00 -5.3500e+00 -5.1127e+00 -5.7532e+00 +5.0174e+00 +4.9786e+00 -5.2090e+00 -4.7146e+00 +4.9291e+00 +5.2075e+00 -5.7027e+00 +5.3113e+00
6063 +9.899888880e+00 +9.899888880e+00 +6.898888798e-01 -9.210000000e+00 +5.2214e+00 -5.0253e-01 +2.4507e+00 +4.8808e+00 -5.2590e+00 +6.3628e+00 +4.9743e+00 +5.3666e+00 +5.2710e+00 -5.3500e+00 -5.1127e+00 -6.0623e+00 +5.0174e+00 +4.9786e+00 -4.9795e+00 -5.0399e+00 +5.0976e+00 +5.2075e+00 -5.7027e+00 +5.3113e+00
7556 +5.794643445e+00 +5.794643445e+00 -3.415356555e+00 -9.210000000e+00 +5.2214e+00 +1.8652e-02 +5.2055e+00 +4.8808e+00 -5.0013e+00 +5.4218e+00 +5.1920e+00 +5.3666e+00 +5.2710e+00 -5.3500e+00 -5.1127e+00 -5.7062e+00 +5.0174e+00 +5.8295e+00 -5.2090e+00 -5.0399e+00 +5.4195e+00 +5.7027e+00 -5.7027e+00 +5.3113e+00
