% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.052180512e+03 +6.052180512e+03 +5.590090512e+03 -4.620900000e+02 +2.7419e+00 -8.3648e-01 -2.9628e+00 -4.9157e+00 +3.1521e+00 +4.6835e-01 -5.9094e-01 +4.6790e+00 +4.8778e+00 +4.8750e+00 +2.2484e+00 +1.2246e+00 -4.8717e-01 -4.9049e+00 -4.2153e+00 +4.2137e+00 -3.5681e+00 +3.1749e+00 +4.5011e+00 -3.1176e+00
183 +7.860939114e+02 +7.860939114e+02 +3.240039114e+02 -4.620900000e+02 -4.5169e+00 -3.2134e+00 +4.5630e-01 -3.8900e+00 -3.2681e+00 +3.4778e+00 -6.9152e-01 -2.1684e+00 -4.5965e+00 -2.3756e+00 +1.2708e+00 +4.8320e-01 -2.1873e-01 -3.4399e+00 +1.6902e-01 -3.2010e+00 -2.3606e+00 +1.8809e+00 +1.7160e+00 -1.6978e+00
756 +5.905829033e+02 +5.905829033e+02 +1.284929033e+02 -4.620900000e+02 +9.7576e-01 -4.1255e+00 -3.8960e+00 +4.8196e+00 -1.9582e+00 +2.9599e-01 -6.9152e-01 +3.2865e+00 +1.0728e+00 +1.4174e+00 -5.2514e-01 -1.3796e+00 +2.9141e-01 -3.4915e+00 +8.2250e-01 -1.0567e+00 -7.8648e-02 +2.4329e+00 +2.3668e+00 -9.7865e-01
1860 +3.882499785e+02 +3.882499785e+02 -7.384002151e+01 -4.620900000e+02 +9.7576e-01 +3.2583e+00 +2.0961e+00 -9.9440e-01 -4.2153e+00 +3.2311e+00 +8.6703e-01 +4.5126e+00 -1.9871e+00 -1.4017e+00 +2.4333e+00 -4.6463e+00 -1.1236e+00 -3.4915e+00 +5.1747e-01 -1.0567e+00 -7.8648e-02 +2.4329e+00 +2.4934e+00 +1.9698e+00
3539 +2.342021888e+02 +2.342021888e+02 -2.278878112e+02 -4.620900000e+02 +1.2746e+00 +3.2330e+00 +8.5968e-01 +2.8074e+00 -7.1744e-01 +2.3477e+00 +2.2471e+00 +3.9438e+00 +1.6193e+00 -1.9255e-01 -5.2514e-01 -4.3383e+00 -7.5851e-01 -3.4915e+00 +1.5237e+00 -3.9431e+00 +2.7020e-01 +2.9513e+00 +2.4934e+00 +1.9698e+00
4829 +1.404691205e+02 +1.404691205e+02 -3.216208795e+02 -4.620900000e+02 +1.1713e+00 +3.2583e+00 +2.0961e+00 -7.3746e-01 +8.9851e-01 +1.9125e+00 +6.5545e-01 +3.2865e+00 +6.6901e-01 +9.0796e-01 +2.3581e+00 -4.2747e+00 -7.8820e-01 -3.4915e+00 +1.5237e+00 -3.4967e+00 -7.8648e-02 +2.6472e+00 +2.4829e+00 +2.2473e+00
5769 +9.724976450e+01 +9.724976450e+01 -3.648402355e+02 -4.620900000e+02 +1.5352e+00 +3.2583e+00 +4.5630e-01 -7.3746e-01 +8.9851e-01 +2.0074e+00 +6.5545e-01 +3.2865e+00 +1.6193e+00 +1.2841e-01 +2.1157e+00 -4.2747e+00 +1.2842e-01 -3.4915e+00 +9.4304e-01 -3.4967e+00 -7.6902e-01 +3.6938e+00 +2.4934e+00 +1.8558e+00
7238 +6.138929536e+01 +6.138929536e+01 -4.007007046e+02 -4.620900000e+02 +2.1141e+00 +3.2517e+00 +2.0961e+00 +1.5412e+00 +8.9851e-01 +2.1804e+00 +2.6935e+00 +3.2865e+00 +1.7958e+00 +1.2841e-01 +1.2708e+00 -4.3662e+00 +1.2842e-01 -3.4915e+00 +9.4506e-01 -3.4967e+00 +2.7020e-01 +2.2067e+00 +2.4934e+00 +1.8558e+00
9088 +3.952494843e+01 +3.952494843e+01 -4.225650516e+02 -4.620900000e+02 +1.3840e+00 +3.2583e+00 +2.0961e+00 -9.4865e-02 +1.5128e+00 +2.1804e+00 +2.5323e+00 +3.1331e+00 +1.0728e+00 +1.2841e-01 +2.1157e+00 -4.3662e+00 +1.2842e-01 -3.8495e+00 +9.4506e-01 -3.4967e+00 -2.8585e-02 +2.9159e+00 +2.4934e+00 +1.8558e+00
75764 +2.488122900e+01 +2.488122900e+01 -4.372087710e+02 -4.620900000e+02 +1.3501e+00 +3.2583e+00 +1.2618e+00 +6.5007e-01 +1.5128e+00 +2.1804e+00 +2.5323e+00 +3.2865e+00 +1.7958e+00 +1.2841e-01 +2.7274e+00 -4.2933e+00 +1.2842e-01 -3.4408e+00 +9.4506e-01 -3.4967e+00 -2.8585e-02 +3.3217e+00 +2.4934e+00 +2.1802e+00
