% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.880578004e+03 +2.880578004e+03 +2.418488004e+03 -4.620900000e+02 -4.3074e+00 -2.6388e+00 -4.5039e+00 +2.2696e+00 -3.5546e+00 -2.7042e+00 +4.4285e+00 +1.7342e+00 -2.1725e+00 -4.7083e+00 -4.2146e+00 +2.9007e+00 -3.1263e+00 +1.7882e+00 -2.0628e+00 -4.3774e+00 -6.8715e-01 -4.4625e+00 +3.6507e+00 -3.5034e+00
385 +8.176015257e+02 +8.176015257e+02 +3.555115257e+02 -4.620900000e+02 +8.8044e-01 +2.9253e+00 +2.1481e+00 -7.9059e-01 -2.4656e+00 -1.5749e+00 -3.8535e+00 +1.5251e+00 +5.9212e-01 -3.6320e+00 +1.6007e+00 +3.9467e+00 -3.2572e+00 -8.3977e-02 -2.1081e+00 -3.0625e+00 -2.3974e+00 +1.4165e+00 +2.8705e+00 +2.4177e+00
765 +5.245603170e+02 +5.245603170e+02 +6.247031697e+01 -4.620900000e+02 +8.8044e-01 +2.9253e+00 +2.1481e+00 -7.9059e-01 -2.4656e+00 -1.2708e+00 -3.3327e+00 +7.7260e-02 +5.9212e-01 -3.5738e+00 -7.2446e-02 -1.8545e+00 -3.7109e+00 -4.8350e+00 +7.6750e-01 -3.0625e+00 -2.3974e+00 +1.4165e+00 +2.8705e+00 +2.4177e+00
1136 +3.906189516e+02 +3.906189516e+02 -7.147104840e+01 -4.620900000e+02 +8.8044e-01 +1.9841e+00 +3.7445e-01 -7.9059e-01 +9.4914e-02 +7.6977e-01 +1.5943e+00 +1.5251e+00 -1.8564e+00 -3.3538e+00 +2.0182e+00 -2.1827e+00 -1.3114e+00 +7.4579e-01 +7.6750e-01 -2.4761e+00 +4.1859e-01 +1.4165e+00 +2.8705e+00 +2.4177e+00
1508 +2.350997714e+02 +2.350997714e+02 -2.269902286e+02 -4.620900000e+02 +8.8044e-01 +2.9253e+00 +2.1481e+00 -7.9059e-01 +1.2501e+00 +7.6977e-01 +1.5943e+00 +1.5251e+00 +5.9212e-01 +2.7604e+00 +1.2742e+00 -2.1827e+00 -7.5649e-01 -3.8488e+00 +7.6750e-01 -3.0625e+00 +4.1859e-01 +2.0003e+00 +2.8705e+00 +2.4177e+00
2430 +1.538848412e+02 +1.538848412e+02 -3.082051588e+02 -4.620900000e+02 +1.6521e+00 +2.1484e+00 +2.1481e+00 -7.9059e-01 +9.4914e-02 +7.6977e-01 +1.8350e+00 +8.7909e-01 +5.9212e-01 +7.4422e-01 +2.0182e+00 -2.1827e+00 -7.5649e-01 -3.8488e+00 +8.9312e-01 -3.0625e+00 +4.1859e-01 +2.5363e+00 +2.4531e+00 +2.4177e+00
3568 +9.590042584e+01 +9.590042584e+01 -3.661895742e+02 -4.620900000e+02 +2.2571e-01 +2.1484e+00 +2.1481e+00 -7.8524e-01 +9.4914e-02 +7.6977e-01 +1.8350e+00 +2.5565e+00 +6.5178e-01 +6.6460e-01 +2.2388e+00 -2.1827e+00 -3.0038e-01 -3.8488e+00 +8.9312e-01 -3.0625e+00 +4.1859e-01 +2.9147e+00 +2.7815e+00 +2.4177e+00
5260 +5.981966874e+01 +5.981966874e+01 -4.022703313e+02 -4.620900000e+02 +1.3650e+00 +2.3607e+00 +2.1481e+00 -1.4203e-01 -9.1568e-02 +7.6977e-01 +1.8350e+00 +2.5565e+00 +6.5178e-01 +5.6383e-01 +2.2388e+00 -2.1827e+00 -3.0038e-01 -2.9784e+00 +1.3610e+00 -3.0625e+00 +4.1859e-01 +3.3521e+00 +2.9016e+00 +2.1140e+00
6738 +3.882263897e+01 +3.882263897e+01 -4.232673610e+02 -4.620900000e+02 +1.3650e+00 +2.2798e+00 +2.1481e+00 -1.4203e-01 +9.1168e-01 +7.6977e-01 +2.5162e+00 +2.5565e+00 +1.1401e+00 +2.6453e-03 +2.2388e+00 -2.0887e+00 -3.0038e-01 -2.9784e+00 +1.3610e+00 -3.8876e+00 +4.1859e-01 +2.9540e+00 +2.8145e+00 +2.1140e+00
9316 +2.485492170e+01 +2.485492170e+01 -4.372350783e+02 -4.620900000e+02 +2.3067e+00 +2.2798e+00 +2.1481e+00 +7.3152e-01 +9.1168e-01 +2.2188e+00 +2.5162e+00 +2.5565e+00 +1.1401e+00 +6.3529e-02 +2.2266e+00 -2.0887e+00 -3.0038e-01 -2.9784e+00 +1.3610e+00 -3.4952e+00 +3.4095e-01 +2.9540e+00 +2.8145e+00 +1.8269e+00
