% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.053144928e+07 +5.053144928e+07 +5.053123940e+07 -2.098800000e+02 +1.1325e+00 +4.3573e+00 +1.4158e+00 -1.5091e+00 +4.2558e+00 -3.8900e+00 -5.5132e-01 -3.6253e+00 +4.5705e+00 +4.6286e+00 -4.6436e+00 +1.0667e+00 +3.0788e+00 +9.9908e-01 -4.9598e+00 +3.4073e+00 +3.4768e+00 -3.5902e+00 +1.7838e+00 -3.1174e+00
188 +2.181681931e+06 +2.181681931e+06 +2.181472051e+06 -2.098800000e+02 +2.5146e+00 -1.5421e+00 -2.3665e+00 -2.5845e+00 +3.6867e+00 +6.1328e-01 -2.1515e+00 +2.5523e-01 +4.0366e+00 -1.6321e+00 +7.8587e-01 -1.1780e+00 +1.4389e+00 -3.2234e+00 +6.6046e-01 -4.4405e+00 -1.6749e-01 +1.8315e+00 -1.8448e+00 +2.4983e+00
375 +1.376650306e+06 +1.376650306e+06 +1.376440426e+06 -2.098800000e+02 +2.5240e-01 +3.3280e+00 -9.0665e-01 -1.1194e+00 -3.5798e+00 +3.9942e+00 -3.4988e+00 +2.8340e+00 +1.8206e+00 -4.9943e+00 -7.7504e-01 +2.0169e+00 +2.3780e+00 -3.9365e-01 -9.4069e-01 -1.7510e+00 -4.1348e+00 +4.7120e+00 -2.7805e+00 +1.3366e+00
932 +8.524786777e+05 +8.524786777e+05 +8.522687977e+05 -2.098800000e+02 +1.5404e+00 -3.7313e+00 -4.9104e+00 +4.7299e+00 +3.1418e+00 -3.1340e+00 -2.1065e-01 +3.5855e+00 +2.6659e+00 +3.1417e+00 +3.6094e+00 +4.0440e-01 +4.6630e+00 -3.2789e+00 -5.2620e-01 -2.7237e+00 -2.3741e+00 +3.2746e+00 -1.3966e+00 +1.5250e+00
1681 +4.231019672e+05 +4.231019672e+05 +4.228920872e+05 -2.098800000e+02 +3.0051e-02 +4.3633e-01 +1.9905e+00 -2.2277e+00 -1.0060e+00 -2.5103e+00 +1.0294e+00 +4.1878e-01 +2.4377e+00 -4.5047e+00 -1.7067e+00 -4.1689e+00 +4.6630e+00 -3.2789e+00 -5.2620e-01 -2.7237e+00 -3.5206e+00 +2.7376e+00 -1.9424e+00 +2.0339e+00
2054 +3.575054280e+05 +3.575054280e+05 +3.572955480e+05 -2.098800000e+02 -1.0784e+00 -9.4296e-01 +2.4969e+00 +4.4230e+00 -4.4856e+00 -1.8071e+00 +7.9270e-01 +4.1878e-01 -2.1336e+00 -2.7805e-01 -7.6795e-01 -1.5739e+00 +1.4389e+00 -1.3733e+00 -1.2096e+00 -2.7237e+00 -2.3741e+00 +3.3805e+00 -2.7805e+00 +1.6967e+00
2787 +2.295345212e+05 +2.295345212e+05 +2.293246412e+05 -2.098800000e+02 +4.0465e+00 +1.0442e+00 +1.9905e+00 -4.4473e+00 +2.6594e+00 -2.5103e+00 -5.8131e-01 +4.1878e-01 +2.7249e+00 +3.3711e-01 -1.7067e+00 -1.5739e+00 +1.4389e+00 -1.3733e+00 -1.2096e+00 -3.5499e+00 -3.5206e+00 +3.3805e+00 -1.9424e+00 +1.8269e+00
3166 +1.470000471e+05 +1.470000471e+05 +1.467901671e+05 -2.098800000e+02 +2.5240e-01 +3.3280e+00 +1.9905e+00 +1.0207e+00 -4.9632e+00 +1.3692e+00 -9.9894e-01 +3.9678e+00 -3.1617e+00 +3.0092e+00 +8.9445e-01 +2.0169e+00 +1.4389e+00 -1.3733e+00 -5.2620e-01 -3.3186e+00 -3.5206e+00 +3.3805e+00 -2.1953e+00 +1.9065e+00
4105 +8.754999810e+04 +8.754999810e+04 +8.734011810e+04 -2.098800000e+02 +4.0465e+00 +3.6531e+00 +7.6208e-01 -4.4473e+00 -4.9632e+00 +1.7593e+00 +3.3701e+00 +4.1878e-01 -3.3515e+00 +3.1036e+00 -2.8649e+00 +2.2685e+00 +4.7665e+00 -1.3733e+00 -8.2455e-01 -3.5499e+00 -2.9138e+00 +3.3805e+00 -2.2371e+00 +1.8269e+00
4641 +5.701016881e+04 +5.701016881e+04 +5.680028881e+04 -2.098800000e+02 +3.4679e+00 -4.0627e+00 +5.0401e-01 -4.4473e+00 +2.0772e+00 -2.5103e+00 -6.9944e-01 +3.1689e+00 -3.3515e+00 +2.8273e+00 +1.3249e+00 +2.0169e+00 +4.6630e+00 -1.3733e+00 -1.2096e+00 -3.5499e+00 -3.5206e+00 +3.0003e+00 -2.1953e+00 +1.9065e+00
5399 +3.566444394e+04 +3.566444394e+04 +3.545456394e+04 -2.098800000e+02 +4.0465e+00 +3.3280e+00 -6.3585e-02 +1.0207e+00 -4.9632e+00 +3.4559e+00 +3.4029e+00 +8.9402e-01 -3.3515e+00 +3.1036e+00 +4.5441e-01 +2.0169e+00 +4.7247e+00 -1.3733e+00 -1.7158e+00 -3.3186e+00 -3.2087e+00 +2.9349e+00 -2.2266e+00 +1.9065e+00
5958 +2.408285386e+04 +2.408285386e+04 +2.387297386e+04 -2.098800000e+02 +4.0465e+00 -3.1272e+00 +2.9813e-01 -2.2277e+00 -4.9632e+00 +1.3692e+00 +2.0200e+00 -5.3164e-02 -1.4135e+00 +3.1036e+00 +8.9445e-01 +2.0169e+00 +4.6441e+00 -1.0535e+00 -1.2096e+00 -3.5499e+00 -2.9988e+00 +2.8420e+00 -2.3673e+00 +1.9268e+00
6873 +7.192431806e+03 +7.192431806e+03 +6.982551806e+03 -2.098800000e+02 +1.6466e+00 -4.2220e+00 +5.0401e-01 -4.3192e+00 -3.3997e+00 +1.6946e+00 -9.9894e-01 +4.1878e-01 -1.8618e+00 +3.3422e+00 +6.6596e-01 +1.8277e+00 +4.0756e+00 -1.3733e+00 -1.7158e+00 -3.5499e+00 -2.9988e+00 +3.0939e+00 -2.3673e+00 +1.9065e+00
7434 +6.304095178e+03 +6.304095178e+03 +6.094215178e+03 -2.098800000e+02 +1.6510e+00 -4.2220e+00 +5.0401e-01 -4.3192e+00 -2.2128e+00 +1.2034e+00 +1.0294e+00 +4.1878e-01 -1.4135e+00 +3.1036e+00 +1.5508e+00 +1.8277e+00 +4.0756e+00 -1.3733e+00 -1.7158e+00 -3.5499e+00 -3.0684e+00 +3.0939e+00 -2.3673e+00 +1.9065e+00
8183 +3.958013224e+03 +3.958013224e+03 +3.748133224e+03 -2.098800000e+02 +1.6510e+00 -3.9144e+00 +5.0401e-01 -4.3192e+00 -2.2128e+00 +1.2034e+00 +1.0294e+00 +6.3853e-01 -1.4135e+00 +3.1036e+00 +1.5508e+00 +1.8277e+00 +4.0756e+00 -1.3733e+00 -1.7158e+00 -3.8426e+00 -3.0684e+00 +3.0939e+00 -2.3673e+00 +1.9065e+00
73866 +2.280194075e+03 +2.280194075e+03 +2.070314075e+03 -2.098800000e+02 +3.6101e-01 -2.3827e+00 +1.1547e+00 -4.7848e-01 +5.6899e-01 +3.2431e+00 +2.0365e+00 +1.0529e+00 -8.7249e-01 +2.7396e+00 +6.8426e-01 +1.6125e+00 +3.8775e+00 -1.5354e+00 -1.4125e+00 -3.7517e+00 -3.1335e+00 +3.0533e+00 -2.3508e+00 +1.9339e+00
74808 +1.363603803e+03 +1.363603803e+03 +1.153723803e+03 -2.098800000e+02 +1.0107e+00 -2.1525e+00 +3.3687e+00 +2.7411e+00 +6.9080e-01 +3.6700e+00 +2.3990e+00 +3.4857e-01 -6.4584e-01 +2.4738e+00 +6.9874e-01 +1.6125e+00 +3.8775e+00 -1.5354e+00 -1.4395e+00 -3.7517e+00 -3.1335e+00 +3.0533e+00 -2.3784e+00 +1.9094e+00
76524 +8.910563304e+02 +8.910563304e+02 +6.811763304e+02 -2.098800000e+02 +1.6840e+00 -2.3827e+00 +1.5111e+00 -7.9399e-01 +1.4608e+00 +3.2431e+00 +1.8144e+00 +1.3357e-01 -8.7249e-01 +2.9603e+00 +9.0057e-01 +1.6125e+00 +3.8775e+00 -1.5028e+00 -1.6113e+00 -3.7925e+00 -3.0321e+00 +3.0533e+00 -2.3784e+00 +1.9339e+00
