% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.054985811e+03 +5.054985811e+03 +4.592895811e+03 -4.620900000e+02 +3.8065e+00 -3.0796e-01 -3.7639e+00 -4.7669e+00 -3.8469e+00 +6.7679e-01 -4.4717e+00 -8.6463e-01 -3.8953e+00 +2.8410e+00 -1.0597e-01 +3.7405e+00 -1.1771e+00 +3.6494e+00 +3.0875e+00 +2.9834e+00 -2.5817e+00 +3.8956e+00 +8.2774e-01 -3.6897e+00
193 +5.675067804e+02 +5.675067804e+02 +1.054167804e+02 -4.620900000e+02 -1.3565e-01 +1.1171e+00 -1.9813e+00 -2.4063e+00 +6.7932e-01 +3.3634e+00 +2.6728e-03 -1.6298e+00 +4.7874e+00 -1.9177e+00 -4.1161e+00 -3.9400e+00 -2.7501e+00 -2.9715e+00 +1.8576e+00 -3.9199e+00 -9.2755e-01 +8.5536e-01 -3.6962e+00 +1.6406e+00
1143 +3.772022738e+02 +3.772022738e+02 -8.488772618e+01 -4.620900000e+02 -1.9546e+00 +2.3588e+00 +2.2917e+00 -2.1098e+00 +4.1138e+00 +2.2958e+00 -2.5302e+00 -1.6153e+00 +3.3084e+00 +5.5018e-01 -4.5788e+00 -5.0168e+00 +9.6318e-01 -3.5113e+00 -9.5810e-01 -4.6221e+00 +9.2253e-01 +2.3184e+00 -3.7942e+00 +1.5236e+00
2847 +2.204202208e+02 +2.204202208e+02 -2.416697792e+02 -4.620900000e+02 -1.9546e+00 +1.1171e+00 -1.9813e+00 -6.8958e-01 +2.2560e+00 +2.9910e+00 +3.8245e+00 +3.8629e+00 -6.9020e-01 -1.6623e+00 -1.6745e+00 -3.2539e+00 +8.6202e-01 -3.5113e+00 -1.3942e+00 -5.8254e+00 +9.2253e-01 +2.3184e+00 -3.7942e+00 +1.5236e+00
3608 +1.544290234e+02 +1.544290234e+02 -3.076609766e+02 -4.620900000e+02 -1.9546e+00 +3.2988e+00 +1.6946e+00 -9.9318e-02 +1.7796e+00 +2.9910e+00 +4.6554e-01 +3.8629e+00 +1.0743e+00 -1.6623e+00 -1.6745e+00 -3.2539e+00 +8.6202e-01 -3.5113e+00 -1.3942e+00 -3.9199e+00 -3.3147e-01 +2.3184e+00 -3.3303e+00 +1.5236e+00
5149 +9.849663022e+01 +9.849663022e+01 -3.635933698e+02 -4.620900000e+02 -1.9546e+00 +2.4114e+00 +2.2917e+00 -9.9318e-02 +2.2560e+00 +2.9910e+00 +4.6554e-01 +3.8629e+00 +1.0743e+00 -1.6623e+00 -1.6745e+00 -3.2539e+00 +8.6202e-01 -2.9715e+00 -1.3942e+00 -3.9199e+00 +9.2253e-01 +3.3352e+00 -2.7822e+00 +1.5236e+00
6310 +6.212700304e+01 +6.212700304e+01 -3.999629970e+02 -4.620900000e+02 -1.6293e+00 +3.2988e+00 +2.2917e+00 +6.5960e-01 +2.2560e+00 +2.9910e+00 +3.8245e+00 +3.8629e+00 +1.0743e+00 -6.1933e-01 -2.2455e+00 -3.2539e+00 +8.6202e-01 -2.9715e+00 -1.3942e+00 -3.9199e+00 -3.3147e-01 +1.8816e+00 -2.7822e+00 +1.5236e+00
7464 +3.839555469e+01 +3.839555469e+01 -4.236944453e+02 -4.620900000e+02 -2.2743e+00 +3.2988e+00 +2.2917e+00 -9.9318e-02 +2.2560e+00 +2.9328e+00 +2.5441e+00 +3.8629e+00 +1.0743e+00 -6.1933e-01 -2.2337e+00 -3.2539e+00 +8.6202e-01 -2.9715e+00 -1.3942e+00 -3.9199e+00 -3.3147e-01 +3.3352e+00 -3.1572e+00 +1.1007e+00
9180 +2.308883473e+01 +2.308883473e+01 -4.390011653e+02 -4.620900000e+02 -2.2743e+00 +2.3588e+00 +2.2106e+00 +6.5960e-01 +2.2560e+00 +2.9910e+00 +2.5441e+00 +2.5785e+00 +1.0743e+00 -6.1933e-01 -2.2455e+00 -3.2539e+00 +8.6202e-01 -2.9715e+00 -1.3942e+00 -3.9199e+00 -3.3147e-01 +3.3352e+00 -3.1572e+00 +1.5236e+00
92592 +1.576717533e+01 +1.576717533e+01 -4.463228247e+02 -4.620900000e+02 -3.2795e+00 +2.2877e+00 +1.2910e+00 +1.6029e+00 +2.2613e+00 +2.1768e+00 +1.8034e+00 +2.5917e+00 +1.7881e+00 +5.1044e-02 -2.1859e+00 -3.7844e+00 -1.6293e-01 -2.4940e+00 -1.7916e+00 -4.3130e+00 -3.3490e-01 +3.3648e+00 -2.8448e+00 +2.2023e+00
102569 +9.607092878e+00 +9.607092878e+00 -4.524829071e+02 -4.620900000e+02 -3.3074e+00 +2.2663e+00 +1.2910e+00 +7.2318e-01 +2.2806e+00 +2.2157e+00 +2.5406e+00 +2.6033e+00 +1.7881e+00 +5.2737e-02 -3.3432e+00 -3.7869e+00 -6.5171e-01 -3.4124e+00 -1.4060e+00 -3.9124e+00 -3.3490e-01 +2.6128e+00 -2.8448e+00 +1.8329e+00
156636 +5.848461295e+00 +5.848461295e+00 -4.562415387e+02 -4.620900000e+02 -2.3306e+00 +2.3588e+00 +2.2106e+00 +7.5749e-01 +2.3032e+00 +2.1528e+00 +2.5441e+00 +2.6052e+00 +1.8196e+00 -5.6831e-01 -2.7354e+00 -3.7961e+00 +3.5917e-01 -2.9654e+00 -1.3942e+00 -3.9263e+00 -3.3147e-01 +2.9580e+00 -3.1572e+00 +1.7999e+00
198127 +3.835576743e+00 +3.835576743e+00 -4.582544233e+02 -4.620900000e+02 -2.3306e+00 +2.2827e+00 +2.2106e+00 +7.0188e-01 +2.3018e+00 +2.1786e+00 +2.5441e+00 +2.5917e+00 +1.8262e+00 +3.0935e-02 -2.7371e+00 -3.8026e+00 -1.6293e-01 -2.9715e+00 -1.3942e+00 -3.9199e+00 -3.3147e-01 +3.3788e+00 -2.8227e+00 +1.8059e+00
199103 +2.393779368e+00 +2.393779368e+00 -4.596962206e+02 -4.620900000e+02 -2.3306e+00 +2.2827e+00 +2.2106e+00 +7.0188e-01 +2.3018e+00 +2.1786e+00 +2.5441e+00 +2.5917e+00 +1.8204e+00 +3.0935e-02 -2.7371e+00 -3.7755e+00 -1.6293e-01 -2.9715e+00 -1.3942e+00 -3.9199e+00 -3.3147e-01 +2.9389e+00 -2.8227e+00 +1.8059e+00
203812 +1.381393115e+00 +1.381393115e+00 -4.607086069e+02 -4.620900000e+02 -2.3306e+00 +2.2827e+00 +2.2106e+00 +7.0188e-01 +2.3018e+00 +2.1786e+00 +2.5441e+00 +2.5917e+00 +1.8204e+00 +4.2256e-02 -2.7371e+00 -3.7755e+00 -1.4712e-01 -2.9715e+00 -1.3942e+00 -3.9199e+00 -3.3147e-01 +2.9389e+00 -2.8227e+00 +1.8116e+00
280735 +9.343617446e-01 +9.343617446e-01 -4.611556383e+02 -4.620900000e+02 -2.3306e+00 +2.2797e+00 +2.2106e+00 +7.3659e-01 +2.3196e+00 +2.1768e+00 +2.5441e+00 +2.5917e+00 +1.7920e+00 +5.1044e-02 -2.7651e+00 -3.7844e+00 -1.4498e-01 -2.9620e+00 -1.3916e+00 -3.9199e+00 -3.3964e-01 +2.9415e+00 -2.8321e+00 +1.8321e+00
322833 +6.213020168e-01 +6.213020168e-01 -4.614686980e+02 -4.620900000e+02 -2.3149e+00 +2.2877e+00 +2.2106e+00 +7.3863e-01 +2.2849e+00 +2.1768e+00 +2.5441e+00 +2.5917e+00 +1.8069e+00 +6.1782e-02 -2.7578e+00 -3.7844e+00 -1.3368e-01 -2.9644e+00 -1.3873e+00 -3.9199e+00 -3.3490e-01 +2.9421e+00 -2.8210e+00 +1.8194e+00
382048 +3.585633135e-01 +3.585633135e-01 -4.617314367e+02 -4.620900000e+02 -2.3402e+00 +2.2981e+00 +2.2106e+00 +7.2944e-01 +2.3032e+00 +2.1786e+00 +2.5462e+00 +2.5939e+00 +1.8101e+00 +5.2737e-02 -2.7534e+00 -3.7851e+00 -1.4287e-01 -2.9654e+00 -1.3836e+00 -3.9263e+00 -3.3147e-01 +2.9448e+00 -2.8198e+00 +1.8187e+00
495677 +2.070452989e-01 +2.070452989e-01 -4.618829547e+02 -4.620900000e+02 -2.3402e+00 +2.2989e+00 +2.2106e+00 +7.1961e-01 +2.2975e+00 +2.1768e+00 +2.5441e+00 +2.5955e+00 +1.8040e+00 +6.1782e-02 -2.7456e+00 -3.7844e+00 -1.3368e-01 -2.9620e+00 -1.3848e+00 -3.9199e+00 -3.3855e-01 +2.9470e+00 -2.8380e+00 +1.8194e+00
542388 +1.547179102e-01 +1.547179102e-01 -4.619352821e+02 -4.620900000e+02 -2.3400e+00 +2.3018e+00 +2.2106e+00 +7.1961e-01 +2.3018e+00 +2.1768e+00 +2.5459e+00 +2.5969e+00 +1.8069e+00 +5.6866e-02 -2.7516e+00 -3.7844e+00 -1.3368e-01 -2.9644e+00 -1.3848e+00 -3.9237e+00 -3.4223e-01 +2.9530e+00 -2.8339e+00 +1.8194e+00
